These are patches originally created for the DX-21 by Bobby Clark.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated April 22, 1987 (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
A11   11 - C2{d g d} 
A12   12 - TISPER    
A13   13 - ~}~QXZYJ 
A14   14 - cahspa    
A15   15 - cabala    
A16   16 - Space Vibe
B 1   17 - shlihk    
B 2   18 - hyperbole 
B 3   19 - A Hrpsicrd
B 4   20 - OmegaBass 
B 5   21 - Morpheus  
B 6   22 - celestial 
B 7   23 - Galaxy 4  
B 8   24 - MoonFall  

File: T.syx


A 1    1 - GottaLearn
A 2    2 - Opus 2000 
A 3    3 - Twangy    
A 4    4 - Eva       
A 5    5 - Kettledrum
A 6    6 - Algo  Bass
A 7    7 - Jellosynth
A 8    8 - Toymaker  
A 9    9 - Pleiades  
A10   10 - Nova      
A11   11 - DX PIANO  
A12   12 - WHALES?   
A13   13 - WHALES? 2 
A14   14 - Last Bass 
A15   15 - Last Bass2
A16   16 - Last Bass3
B 1   17 - Last Bass4
B 2   18 - @AlienBird
B 3   19 - Celostoff 
B 4   20 - Mark VII  
B 5   21 - LOS ENDOS2
B 6   22 - Celostoff2
B 7   23 - FRAZETTA2 
B 8   24 - LOS ENDOS 

File: U.syx


A 1    1 - pianestra 
A 2    2 - THEMEstrng
A 3    3 -    vox fx 
A 4    4 - SlowString
A 5    5 - ANGELHARP 
A 6    6 - ANGELHARP3
A 7    7 - ANGELHARP2
A 8    8 - Lamia     
A 9    9 - HALL ORCH.
A10   10 - planePIANO
A11   11 - CinemaPno.
A12   12 - Archangel 
A13   13 - S/Hguitar 
A14   14 - PHOENIX   
A15   15 - ANGELtears
A16   16 -  SAMBAY   
B 1   17 - OUTofWACK 
B 2   18 - 10.99     
B 3   19 - weird     
B 4   20 - SO STRANGE
B 5   21 - DrunkR2-D2
B 6   22 - HorsingFX 
B 7   23 - PLAYitLOW 
B 8   24 - PLAYitLOW2

File: V.syx


A 1    1 - DX Bass II
A 2    2 - Lefty     
A 3    3 - SleepSynth
A 4    4 - Elegia    
